structure_inchikey	structure_smiles	organism_name	reference_doi
TYEYBOSBBBHJIV-UHFFFAOYSA-N	CCC(=O)C(O)=O	Escherichia coli	
MXHRCPNRJAMMIM-SHYZEUOFSA-N	OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O	Escherichia coli	
CKTSBUTUHBMZGZ-SHYZEUOFSA-N	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1	Escherichia coli	
QHKABHOOEWYVLI-UHFFFAOYSA-N	CC(C)C(=O)C(O)=O	Escherichia coli	
DBXBTMSZEOQQDU-UHFFFAOYSA-N	CC(CO)C(O)=O	Escherichia coli	
JSJWCHRYRHKBBW-UHFFFAOYSA-N	NC(=O)NCCC(O)=O	Escherichia coli	
YBJHBAHKTGYVGT-ZKWXMUAHSA-N	[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2	Escherichia coli	
GFFGJBXGBJISGV-UHFFFAOYSA-N	NC1=C2NC=NC2=NC=N1	Escherichia coli	
FERIUCNNQQJTOY-UHFFFAOYSA-N	CCCC(O)=O	Escherichia coli	
QTBSBXVTEAMEQO-UHFFFAOYSA-N	CC(O)=O	Escherichia coli	
CIWBSHSKHKDKBQ-JLAZNSOCSA-N	[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO	Escherichia coli	
UDMBCSSLTHHNCD-KQYNXXCUSA-N	NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1	Escherichia coli	
OIRDTQYFTABQOQ-KQYNXXCUSA-N	NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1	Escherichia coli	
QGZKDVFQNNGYKY-UHFFFAOYSA-N	N	Escherichia coli	
GUBGYTABKSRVRQ-QRZGKKJRSA-N	OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O	Escherichia coli	
UCMIRNVEIXFBKS-UHFFFAOYSA-N	NCCC(O)=O	Escherichia coli	
IVOMOUWHDPKRLL-KQYNXXCUSA-N	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@@H]2COP(O)(=O)O[C@H]2[C@H]1O	Escherichia coli	
WDJHALXBUFZDSR-UHFFFAOYSA-N	CC(=O)CC(O)=O	Escherichia coli	
WHTCPDAXWFLDIH-KQYNXXCUSA-N	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H]1O	Escherichia coli	
PHIQHXFUZVPYII-UHFFFAOYSA-O	C[N+](C)(C)CC(O)CC(O)=O	Escherichia coli	
VGONTNSXDCQUGY-RRKCRQDMSA-N	OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CN=C2O	Escherichia coli	
GTZCVFVGUGFEME-IWQZZHSRSA-N	OC(=O)C\C(=C\C(O)=O)C(O)=O	Escherichia coli	
VYFYYTLLBUKUHU-UHFFFAOYSA-N	NCCC1=CC(O)=C(O)C=C1	Escherichia coli	
ZUKPVRWZDMRIEO-VKHMYHEASA-N	N[C@@H](CS)C(=O)NCC(O)=O	Escherichia coli	
PCDQPRRSZKQHHS-XVFCMESISA-N	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O	Escherichia coli	
YKBGVTZYEHREMT-KVQBGUIXSA-N	NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)N1	Escherichia coli	
SUHOQUVVVLNYQR-MRVPVSSYSA-O	C[N+](C)(C)CCO[P@](O)(=O)OC[C@H](O)CO	Escherichia coli	
UHDGCWIWMRVCDJ-XVFCMESISA-N	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	Escherichia coli	
KRKNYBCHXYNGOX-UHFFFAOYSA-N	OC(=O)CC(O)(CC(O)=O)C(O)=O	Escherichia coli	
IERHLVCPSMICTF-XVFCMESISA-N	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O	Escherichia coli	
SRBFZHDQGSBBOR-IOVATXLUSA-N	O[C@@H]1COC(O)[C@H](O)[C@H]1O	Escherichia coli	
ILRYLPWNYFXEMH-WHFBIAKZSA-N	N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O	Escherichia coli	
OLXZPDWKRNYJJZ-RRKCRQDMSA-N	NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](CO)O1	Escherichia coli	
FBPFZTCFMRRESA-GUCUJZIJSA-N	OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO	Escherichia coli	
FRMZOWIQVCBEAC-UHFFFAOYSA-N	OCCN(CC(O)CO)P(O)(O)=O	Escherichia coli	
HHLFWLYXYJOTON-UHFFFAOYSA-N	OC(=O)C=O	Escherichia coli	
OVBPIULPVIDEAO-LBPRGKRZSA-N	NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1	Escherichia coli	
DHMQDGOQFOQNFH-UHFFFAOYSA-N	NCC(O)=O	Escherichia coli	
GSXOAOHZAIYLCY-HSUXUTPPSA-N	OCC(=O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O	Escherichia coli	
RWSXRVCMGQZWBV-WDSKDSINSA-N	N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O	Escherichia coli	
AWUCVROLDVIAJX-GSVOUGTGSA-N	OC[C@@H](O)COP(O)(O)=O	Escherichia coli	
UYTPUPDQBNUYGX-UHFFFAOYSA-N	NC1=NC(=O)C2=C(N1)N=CN2	Escherichia coli	
NYHBQMYGNKIUIF-UUOKFMHZSA-N	NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1	Escherichia coli	
BDAGIHXWWSANSR-UHFFFAOYSA-N	OC=O	Escherichia coli	
WHUUTDBJXJRKMK-VKHMYHEASA-N	N[C@@H](CCC(O)=O)C(O)=O	Escherichia coli	
PHOQVHQSTUBQQK-SQOUGZDYSA-N	OC[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O	Escherichia coli	
BJEPYKJPYRNKOW-REOHCLBHSA-N	O[C@@H](CC(O)=O)C(O)=O	Escherichia coli	
FDGQSTZJBFJUBT-UHFFFAOYSA-N	OC1=NC=NC2=C1NC=N2	Escherichia coli	
OUYCCCASQSFEME-QMMMGPOBSA-N	N[C@@H](CC1=CC=C(O)C=C1)C(O)=O	Escherichia coli	
COLNVLDHVKWLRT-QMMMGPOBSA-N	N[C@@H](CC1=CC=CC=C1)C(O)=O	Escherichia coli	
QNAYBMKLOCPYGJ-REOHCLBHSA-N	C[C@H](N)C(O)=O	Escherichia coli	
ONIBWKKTOPOVIA-BYPYZUCNSA-N	OC(=O)[C@@H]1CCCN1	Escherichia coli	
GUBGYTABKSRVRQ-DKBJLJRDSA-N	OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O	Escherichia coli	
FFFHZYDWPBMWHY-VKHMYHEASA-N	N[C@@H](CCS)C(O)=O	Escherichia coli	
AYFVYJQAPQTCCC-GBXIJSLDSA-N	C[C@@H](O)[C@H](N)C(O)=O	Escherichia coli	
DCXYFEDJOCDNAF-REOHCLBHSA-N	N[C@@H](CC(N)=O)C(O)=O	Escherichia coli	
WQZGKKKJIJFFOK-QTVWNMPRSA-N	OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O	Escherichia coli	
AGPKZVBTJJNPAG-WHFBIAKZSA-N	CC[C@H](C)[C@H](N)C(O)=O	Escherichia coli	
VZCYOOQTPOCHFL-OWOJBTEDSA-N	OC(=O)\C=C\C(O)=O	Escherichia coli	
HNDVDQJCIGZPNO-YFKPBYRVSA-N	N[C@@H](CC1=CN=CN1)C(O)=O	Escherichia coli	
KDXKERNSBIXSRK-YFKPBYRVSA-N	NCCCC[C@H](N)C(O)=O	Escherichia coli	
GUBGYTABKSRVRQ-XLOQQCSPSA-N	OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O	Escherichia coli	
MTCFGRXMJLQNBG-REOHCLBHSA-N	N[C@@H](CO)C(O)=O	Escherichia coli	
HAEJPQIATWHALX-KQYNXXCUSA-N	O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2O	Escherichia coli	
JVTAAEKCZFNVCJ-REOHCLBHSA-N	C[C@H](O)C(O)=O	Escherichia coli	
CKLJMWTZIZZHCS-REOHCLBHSA-N	N[C@@H](CC(O)=O)C(O)=O	Escherichia coli	
LEVWYRKDKASIDU-IMJSIDKUSA-N	N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O	Escherichia coli	
UGQMRVRMYYASKQ-KQYNXXCUSA-N	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1NC=NC2=O	Escherichia coli	
BTNMPGBKDVTSJY-UHFFFAOYSA-N	OC(=O)C(=O)CC1=CC=CC=C1	Escherichia coli	
GHOKWGTUZJEAQD-UHFFFAOYSA-N	CC(C)(CO)C(O)C(=O)NCCC(O)=O	Escherichia coli	
INAPMGSXUVUWAF-PTQMNWPWSA-N	O[C@H]1[C@H](O)[C@H](O)[C@H](OP(O)(O)=O)[C@@H](O)[C@@H]1O	Escherichia coli	
AHLPHDHHMVZTML-BYPYZUCNSA-N	NCCC[C@H](N)C(O)=O	Escherichia coli	
OVRNDRQMDRJTHS-DMHSOCPYSA-N	[H]OC([H])([H])[C@]1([H])O[C@@]([H])(O[H])[C@@]([H])(N([H])C(=O)C([H])([H])[H])[C@]([H])(O[H])[C@@]1([H])O[H]	Escherichia coli	
XJLXINKUBYWONI-NNYOXOHSSA-O	NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O	Escherichia coli	
KYOBSHFOBAOFBF-XVFCMESISA-N	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C(=O)NC(=O)C=C1C(O)=O	Escherichia coli	
IPCSVZSSVZVIGE-UHFFFAOYSA-N	CCCCCCCCCCCCCCCC(O)=O	Escherichia coli	
KHPXUQMNIQBQEV-UHFFFAOYSA-N	OC(=O)CC(=O)C(O)=O	Escherichia coli	
FGSBNBBHOZHUBO-UHFFFAOYSA-N	OC(=O)CCCC(=O)C(O)=O	Escherichia coli	
PXQPEWDEAKTCGB-UHFFFAOYSA-N	OC(=O)C1=CC(=O)NC(=O)N1	Escherichia coli	
JOUIQRNQJGXQDC-ZYUZMQFOSA-O	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)[N+]1=CC=CC(=C1)C(O)=O	Escherichia coli	
GJAWHXHKYYXBSV-UHFFFAOYSA-N	OC(=O)C1=CC=CN=C1C(O)=O	Escherichia coli	
JZRWCGZRTZMZEH-UHFFFAOYSA-N	CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N	Escherichia coli	
XBDQKXXYIPTUBI-UHFFFAOYSA-N	CCC(O)=O	Escherichia coli	
LXNHXLLTXMVWPM-UHFFFAOYSA-N	CC1=C(O)C(CO)=C(CO)C=N1	Escherichia coli	
LSNNMFCWUKXFEE-UHFFFAOYSA-L	[O-]S([O-])=O	Escherichia coli	
KSFOVUSSGSKXFI-UJJXFSCMSA-N	CC1=C(CCC(O)=O)/C2=C/C3=N/C(=C\C4=C(C)C(C=C)=C(N4)/C=C4\N=C(\C=C\1/N\2)C(C=C)=C4C)/C(C)=C3CCC(O)=O	Escherichia coli	
LCTONWCANYUPML-UHFFFAOYSA-N	CC(=O)C(O)=O	Escherichia coli	
AUNGANRZJHBGPY-SCRDCRAPSA-N	CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1	Escherichia coli	
QSHWIQZFGQKFMA-UHFFFAOYSA-N	NCC1=C(CC(O)=O)C(CCC(O)=O)=CN1	Escherichia coli	
FBPFZTCFMRRESA-JGWLITMVSA-N	OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	Escherichia coli	
XOAAWQZATWQOTB-UHFFFAOYSA-N	NCCS(O)(=O)=O	Escherichia coli	
KDYFGRWQOYBRFD-UHFFFAOYSA-N	OC(=O)CCC(O)=O	Escherichia coli	
DHCDFWKWKRSZHF-UHFFFAOYSA-L	[O-]S([S-])(=O)=O	Escherichia coli	
RWQNBRDOKXIBIV-UHFFFAOYSA-N	CC1=CNC(=O)NC1=O	Escherichia coli	
DTBNBXWJWCWCIK-UHFFFAOYSA-N	OC(=O)C(=C)OP(O)(O)=O	Escherichia coli	
FSYKKLYZXJSNPZ-UHFFFAOYSA-N	CNCC(O)=O	Escherichia coli	
BZQFBWGGLXLEPQ-REOHCLBHSA-N	N[C@@H](COP(O)(O)=O)C(O)=O	Escherichia coli	
IQFYYKKMVGJFEH-XLPZGREQSA-N	CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O	Escherichia coli	
PQGCEDQWHSBAJP-TXICZTDVSA-N	O[C@H]1[C@@H](O)[C@@H](O[P@](O)(=O)OP(O)(O)=O)O[C@@H]1COP(O)(O)=O	Escherichia coli	
HMFHBZSHGGEWLO-SOOFDHNKSA-N	OC[C@H]1OC(O)[C@H](O)[C@@H]1O	Escherichia coli	